smiles,EF,SA,KP,AB,PA,BW,DKO
O=C(O)c1cc(=O)[nH]c(=O)[nH]1,1.01999647,1.021344631,0.992606741,0.9885347,1.018217105,0.917374437,1.047865459
CC(C)/C(O)=C1/C(=O)O[C@@H](c2ccoc2)[C@]2(C)C(O)[C@@H](O)[C@@]34OC5(C)OC67CC(C)(C(O)[C@]6(O)[C@@H](O)[C@]3(O5)C12)[C@H](CC(=O)O)[C@]74C,1.021257281,1.007780574,0.996391699,1.081981143,1.00307633,1.02876915,1.049387413
C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,1.040169453,0.733036271,0.999728628,0.97890149,0.972450672,1.030614872,0.077619664
C=CCCCCCCCCCCCc1ccco1,0.989736995,0.994793711,1.049766675,1.093975653,1.01236726,1.000367869,1.181036451
O=C1C=C2C=C[C@@H]3C[C@@]2(O1)[C@H]1CCCCN31,1.027561338,1.048761342,0.968508823,0.958604472,1.013743694,1.008101649,1.040255688
CC(C)=CCCC(C)CC=O,1.187684394,0.960162076,1.05723844,1.081439801,1.017184779,0.971960354,1.10798265
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0.993519429,0.917738323,0.993634485,1.025303243,0.961783308,1.045730347,1.059280116
CC(=O)Oc1ccc2c(c1OC(C)=O)OCC1(O)Cc3c(cc(OC(C)=O)c(OC(C)=O)c3OC(C)=O)C21,1.143555993,0.991907741,1.009944133,0.976037636,0.997914702,1.029499054,1.054714253
O=c1ccc2ccccc2o1,1.023778904,0.979498072,0.978169066,0.897581226,0.972450672,0.848756627,1.019709307
Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,0.600146254,0.060316764,1.078629859,0.657059977,0.790417266,0.713017562,1.10798265
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C(O)C2,1.004866732,1.016149886,1.030404411,0.996996081,0.986559121,1.034299816,1.006772696
CC12CCC(CC1=O)C2(C)C,1.01117079,1.020190243,1.044922724,0.970629409,1.059510127,1.067130141,1.199299901
O=C(O)[C@H]1O[C@@H](Oc2c(O)cc(O)c3c(=O)c(O)c(-c4ccc(O)c(O)c4)oc23)[C@H](O)[C@@H](O)[C@@H]1O,1.035126207,1.027693764,0.964729932,0.961558327,1.035078422,0.980443672,1.087436268
CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12,0.132385203,0.028282502,0.053492936,0.045292693,0.037507828,0.039099784,0.082946503
CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,1.016214035,0.987867384,0.968486037,0.932487559,1.013743694,0.710437822,1.041016665
